256,131072,0.00701131,2020-2-4__14:9:51
256,1310720,0.0315059,2020-2-4__14:9:53
256,13107200,0.306435,2020-2-4__14:9:58
256,26214400,0.596845,2020-2-4__14:10:6
256,39321600,0.757191,2020-2-4__14:10:15
256,52428800,1.41817,2020-2-4__14:10:31
256,65536000,1.72771,2020-2-4__14:10:50
256,78643200,1.86741,2020-2-4__14:11:11
256,91750400,1.8078,2020-2-4__14:11:32
256,104857600,2.41086,2020-2-4__14:11:58
256,117964800,2.77155,2020-2-4__14:12:30
256,134217728,2.73874,2020-2-4__14:13:0
256,131072,0.00692856,2020-2-4__14:15:25
256,1310720,0.0308494,2020-2-4__14:15:27
256,13107200,0.335765,2020-2-4__14:15:32
256,26214400,0.58148,2020-2-4__14:15:39
256,39321600,0.755961,2020-2-4__14:15:49
256,52428800,1.08338,2020-2-4__14:16:1
256,65536000,1.66764,2020-2-4__14:16:20
256,78643200,1.87385,2020-2-4__14:16:41
256,91750400,2.05738,2020-2-4__14:17:4
256,104857600,2.50482,2020-2-4__14:17:31
256,117964800,2.52939,2020-2-4__14:17:59
256,134217728,2.7615,2020-2-4__14:18:30
